cycle,case_id,category,expected_result,actual_rendered_result,verification,steps_status,warning_error_status,duration_ms,status,screenshot_evidence,detail
"1","ARI-0001","arithmetic","3","3","Verification | Verified","visible_1_steps_final_agrees","none_expected","7156","PASS","/storage/emulated/0/Android/data/com.indianservers.aiexplorer/files/solver-cas-ui/cycle-1-evidence/cycle1_ARI-0001_PASS.png","answerMatches=true; stepShape=true; finalAgrees=true"
"1","ARI-0002","arithmetic","5","5","Verification | Verified","visible_1_steps_final_agrees","none_expected","4673","PASS","","answerMatches=true; stepShape=true; finalAgrees=true"
"1","ARI-0003","arithmetic","7","7","Verification | Verified","visible_1_steps_final_agrees","none_expected","4984","PASS","","answerMatches=true; stepShape=true; finalAgrees=true"
"1","ARI-0004","arithmetic","9","9","Verification | Verified","visible_1_steps_final_agrees","none_expected","5233","PASS","","answerMatches=true; stepShape=true; finalAgrees=true"
"1","ARI-0005","arithmetic","4","4","Verification | Verified","visible_1_steps_final_agrees","none_expected","4898","PASS","","answerMatches=true; stepShape=true; finalAgrees=true"
"1","ARI-0006","arithmetic","6","6","Verification | Verified","visible_1_steps_final_agrees","none_expected","4568","PASS","","answerMatches=true; stepShape=true; finalAgrees=true"
"1","ARI-0007","arithmetic","8","8","Verification | Verified","visible_1_steps_final_agrees","none_expected","4915","PASS","","answerMatches=true; stepShape=true; finalAgrees=true"
"1","ARI-0008","arithmetic","10","10","Verification | Verified","visible_1_steps_final_agrees","none_expected","4667","PASS","","answerMatches=true; stepShape=true; finalAgrees=true"
"1","ARI-0009","arithmetic","5","5","Verification | Verified","visible_1_steps_final_agrees","none_expected","4800","PASS","","answerMatches=true; stepShape=true; finalAgrees=true"
"1","ARI-0010","arithmetic","7","7","Verification | Verified","visible_1_steps_final_agrees","none_expected","4596","PASS","","answerMatches=true; stepShape=true; finalAgrees=true"
"1","ARI-0011","arithmetic","9","9","Verification | Verified","visible_1_steps_final_agrees","none_expected","4982","PASS","","answerMatches=true; stepShape=true; finalAgrees=true"
"1","ARI-0012","arithmetic","11","11","Verification | Verified","visible_1_steps_final_agrees","none_expected","5854","PASS","","answerMatches=true; stepShape=true; finalAgrees=true"
"1","ARI-0013","arithmetic","6","6","Verification | Verified","visible_1_steps_final_agrees","none_expected","6860","PASS","","answerMatches=true; stepShape=true; finalAgrees=true"
"1","ARI-0014","arithmetic","8","8","Verification | Verified","visible_1_steps_final_agrees","none_expected","5615","PASS","","answerMatches=true; stepShape=true; finalAgrees=true"
"1","ARI-0015","arithmetic","10","10","Verification | Verified","visible_1_steps_final_agrees","none_expected","4567","PASS","","answerMatches=true; stepShape=true; finalAgrees=true"
"1","ARI-0016","arithmetic","12","12","Verification | Verified","visible_1_steps_final_agrees","none_expected","4916","PASS","","answerMatches=true; stepShape=true; finalAgrees=true"
"1","ARI-0017","arithmetic","7","7","Verification | Verified","visible_1_steps_final_agrees","none_expected","4865","PASS","","answerMatches=true; stepShape=true; finalAgrees=true"
"1","ARI-0018","arithmetic","9","9","Verification | Verified","visible_1_steps_final_agrees","none_expected","4600","PASS","","answerMatches=true; stepShape=true; finalAgrees=true"
"1","ARI-0019","arithmetic","11","11","Verification | Verified","visible_1_steps_final_agrees","none_expected","4847","PASS","","answerMatches=true; stepShape=true; finalAgrees=true"
"1","ARI-0020","arithmetic","13","13","Verification | Verified","visible_1_steps_final_agrees","none_expected","4800","PASS","","answerMatches=true; stepShape=true; finalAgrees=true"
"1","ARI-0021","arithmetic","8","8","Verification | Verified","visible_1_steps_final_agrees","none_expected","4899","PASS","","answerMatches=true; stepShape=true; finalAgrees=true"
"1","ARI-0022","arithmetic","10","10","Verification | Verified","visible_1_steps_final_agrees","none_expected","4565","PASS","","answerMatches=true; stepShape=true; finalAgrees=true"
"1","ARI-0023","arithmetic","12","12","Verification | Verified","visible_1_steps_final_agrees","none_expected","4467","PASS","","answerMatches=true; stepShape=true; finalAgrees=true"
"1","ARI-0024","arithmetic","14","14","Verification | Verified","visible_1_steps_final_agrees","none_expected","7083","PASS","","answerMatches=true; stepShape=true; finalAgrees=true"
"1","ARI-0025","arithmetic","9","9","Verification | Verified","visible_1_steps_final_agrees","none_expected","6564","PASS","","answerMatches=true; stepShape=true; finalAgrees=true"
